rating,keyword,relevance,bucket
2, interesting music fare, 0.933126, 0
2, steady clientele, 0.744593, 0
2, terrible rut, 0.774149, 1
2, Char, 0.873594, 2
2, new songs, 0.703056, 3
2, night, 0.530626, 3
2, Mustang Sally, 0.746214, 4
3, real music, 0.532293, 0
3, random law school, 0.494835, 0
3, little place, 0.453293, 1
3, small dance floor, 0.687814, 2
3, Saloon Swinging doors, 0.479974, 2
3, Carvin Jones Band, 0.538301, 3
3, soul night, 0.425473, 3
3, dance floor, 0.963142, 4
3, Phoenix, 0.420298, 4
3, place, 0.869562, 5
3, music, 0.791636, 5
3, Char, 0.575296, 6
3, tiny dance floor, 0.507998, 6
3, early Jarmusch film, 0.531442, 7
3, great Michael Jackson, 0.517564, 7
3, live music, 0.609776, 8
3, good live bands, 0.548648, 8
3, great time, 0.493843, 9
3, place rocking, 0.444429, 9
4, packed dance floor, 0.422263, 0
4, new blues bands, 0.412093, 1
4, fun little music, 0.447835, 2
4, friendlier place, 0.412508, 2
4, old school music, 0.418755, 3
4, cheap drinks, 0.418654, 3
4, place, 0.906659, 4
4, blues bar, 0.547119, 4
4, dance floor, 0.996012, 5
4, Char, 0.86629, 5
4, Soul Power, 0.602775, 6
4, fun, 0.553285, 6
4, great time, 0.495898, 7
4, little place, 0.470456, 7
4, live music, 0.653372, 8
4, small dance floor, 0.564768, 8
4, great live music, 0.509003, 9
4, great place, 0.428218, 9
5, band place, 0.466136, 0
5, funk cover band, 0.457942, 0
5, lit dance floor, 0.469547, 1
5, pretentious place, 0.456317, 2
5, Bad News Blues, 0.570193, 3
5, News Blues Band, 0.498863, 3
5, chars, 0.501265, 4
5, bar, 0.479409, 4
5, dance floor, 0.915871, 5
5, live music, 0.850729, 5
5, little dance floor, 0.468679, 6
5, band Soul Power, 0.555333, 7
5, great swing band, 0.485102, 7
5, great live music, 0.578747, 8
5, great music, 0.537844, 8
5, Phoenix. great music, 0.476271, 9
5, bustling dance floor, 0.46555, 9
