rating, keyword, relevance, bucket
1, Dear lady bartender, 0.944304, 0
1, w/o black olives, 0.91498, 0
1, bar playing poker, 0.944499, 1
1, asian girl, 0.832631, 1
1, rude female bartender, 0.95923, 2
1, extremely short  shorts, 0.919318, 2
1, good Italian taste, 0.96026, 3
1, plain white paper, 0.898618, 3
1, allergy reaction, 0.80906, 4
1, food, 0.975427, 5
1, exaggeration Prego, 0.817179, 6
1, greet people, 0.829738, 7
1, wait staff, 0.821295, 7
1, different peoples sauce, 0.903547, 8
2, best Italian food, 0.824646, 0
2, good italian bread, 0.82042, 0
2, leadership results, 0.660719, 1
2, poor service, 0.651576, 1
2, Italian restaurant, 0.685936, 2
2, HUGE FAILURE, 0.665567, 2
2, Italian food, 0.963922, 3
2, place, 0.687039, 3
2, eggplant parm, 0.814938, 4
2, server, 0.750167, 4
2, answer, 0.665306, 5
2, French dip, 0.665761, 6
2, new spot, 0.644472, 6
2, authentic Italian food, 0.784701, 7
2, hmmm response, 0.683295, 7
2, Parmesan chicken, 0.800952, 8
2, life long friends, 0.816581, 9
2, dining room, 0.669647, 9
3, banana pepper appies, 0.897667, 0
3, sausage, 0.370233, 0
3, little bit pricey, 0.841548, 3
3, Bronx New York.it, 0.801133, 3
3, authentic  Italian bread, 0.920775, 6
3, homemade papadelle pasta, 0.886312, 6
3, homemade cheese ravioli, 0.940621, 7
3, chicken pomodoro, 0.647469, 7
3, pork chop Marsala, 0.922375, 8
3, good food, 0.726598, 8
3, Great flavor, 0.601286, 9
3, Happy Hour Menu, 0.589757, 9
4, dining room, 0.83899, 0
4, chicken cobb salad, 0.825239, 0
4, bleu cheese dressing, 0.782417, 1
4, ribeye steak, 0.761603, 1
4, good server, 0.759562, 2
4, new place, 0.753164, 2
4, times, 0.722824, 3
4, place, 0.94633, 6
4, lunch time, 0.825362, 6
4, great service, 0.952011, 7
4, food, 0.856067, 7
4, exceptionally reasonable prices, 0.82796, 8
4, great waitress, 0.784572, 8
4, local Italian restaurant, 0.80616, 9
4, white balsamic dressing., 0.795375, 9
5, Cranberry/Feta  entrée salad, 0.819558, 0
5, hearty decent food, 0.800396, 0
5, crust pizza, 0.773872, 1
5, bad food, 0.732981, 2
5, Italian food, 0.726239, 2
5, lemon wine sauce, 0.793856, 4
5, place, 0.956274, 5
5, food, 0.955873, 5
5, Cousins wedding reception, 0.747081, 6
5, mozzarella salad, 0.72823, 6
5, great looking menu, 0.802802, 7
5, great patio area, 0.791931, 7
5, entrée salad, 0.820128, 8
5, great food, 0.798457, 8
5, perfectly prepared antipasti, 0.752734, 9
5, fantastic large meatballs, 0.748235, 9
