rating,keyword,relevance,bucket
1, Kams sucks, 0.729941, 0
1, kam vomit, 0.708931, 0
1, vomit smell, 0.730535, 1
1, bar crawl, 0.678073, 1
1, college town bar, 0.693909, 2
1, crappy Canadian whiskey, 0.651583, 2
1, kams, 0.967831, 3
1, bar, 0.866767, 3
1, people, 0.660439, 4
1, orange Illini Union, 0.654215, 6
1, up-close view, 0.594665, 6
1, better bar, 0.611457, 7
1, intelligent people, 0.597177, 7
1, bright sienna self-tanner, 0.657893, 8
1, potent protective layer, 0.65616, 8
2, Real World people, 0.97565, 0
2, random nights, 0.805808, 0
2, sticky diseases, 0.801301, 1
2, cheap drinks, 0.79766, 1
2, dance floor, 0.811738, 2
2, floors, 0.524273, 2
2, Champaign, 0.356325, 3
2, transfer student, 0.770614, 6
2, weekends, 0.344633, 6
2, age paradise, 0.828186, 8
2, Kam, 0.40045, 8
3, College binge drinking, 0.772579, 0
3, dozen crate speakers, 0.731021, 0
3, Cheap night, 0.608252, 1
3, bad smells, 0.599862, 1
3, kams, 0.804258, 2
3, good hip hop, 0.744583, 2
3, college bar, 0.738191, 3
3, frat guy, 0.588735, 3
3, synapse-snapping memory, 0.580125, 4
3, friends, 0.47454, 4
3, good time, 0.863033, 6
3, night, 0.673186, 6
3, Ed Hardy beer, 0.956651, 7
3, right mindset, 0.601164, 7
3, distinct smell, 0.62595, 8
3, night stand, 0.60166, 8
4, big fancy drinks, 0.961797, 0
4, drink buckets, 0.802446, 0
4, dumpy little dive, 0.935747, 1
4, popped collars, 0.709702, 1
4, sticky floors, 0.685742, 3
4, weird clientele, 0.681481, 3
4, decent memories, 0.704526, 6
4, bartenders, 0.331283, 6
4, single time, 0.611516, 7
4, YAY KAM, 0.794442, 8
5, short bar crawl, 0.791889, 0
5, easier task, 0.559021, 0
5, scratchers, 0.379366, 1
5, summer, 0.345203, 1
5, dirt cheap drinks, 0.759713, 2
5, shitty reviews, 0.566198, 2
5, kams, 0.930638, 3
5, nightly sound, 0.53919, 3
5, watts, 0.403234, 4
5, free shuttle bus, 0.715677, 6
5, ordinary human, 0.517013, 6
5, pregame party spot, 0.743086, 7
5, tasty beer, 0.539079, 7
5, familiar neighborhood crowd, 0.746316, 8
5, NERD Kam, 0.650377, 8
5, happy-go-lucky crowd, 0.574314, 9
5, fantastic selection, 0.539112, 9
